46 8
8 7 6 5 4 3 2 1
0 1 2 3 4 4 3 4 4 2 3 4 4 3 4 4 1 2 3 4 4 3 4 4 2 3 4 4 3 4 4 1 2 3 4 4 3 4 4 2 3 4 4 3 4 4
1 0 1 2 3 3 2 3 3 1 2 3 3 2 3 3 2 3 4 5 5 4 5 5 3 4 5 5 4 5 5 2 3 4 5 5 4 5 5 3 4 5 5 4 5 5
2 1 0 1 2 2 1 2 2 2 3 4 4 3 4 4 3 4 5 6 6 5 6 6 4 5 6 6 5 6 6 3 4 5 6 6 5 6 6 4 5 6 6 5 6 6   
3 2 1 0 1 1 2 3 3 3 4 5 5 4 5 5 4 5 6 7 7 6 7 7 5 6 7 7 6 7 7 4 5 6 7 7 6 7 7 5 6 7 7 6 7 7
4 3 2 1 0 2 3 4 4 4 5 6 6 5 6 6 5 6 7 8 8 7 8 8 6 7 8 8 7 8 8 5 6 7 8 8 7 8 8 6 7 8 8 7 8 8
4 3 2 1 2 0 3 4 4 4 5 6 6 5 6 6 5 6 7 8 8 7 8 8 6 7 8 8 7 8 8 5 6 7 8 8 7 8 8 6 7 8 8 7 8 8
3 2 1 2 3 3 0 1 1 3 4 5 5 4 5 5 4 5 6 7 7 6 7 7 5 6 7 7 6 7 7 4 5 6 7 7 6 7 7 5 6 7 7 6 7 7
4 3 2 3 4 4 1 0 2 4 5 6 6 5 6 6 5 6 7 8 8 7 8 8 6 7 8 8 7 8 8 5 6 7 8 8 7 8 8 6 7 8 8 7 8 8
4 3 2 3 4 4 1 2 0 4 5 6 6 5 6 6 5 6 7 8 8 7 8 8 6 7 8 8 7 8 8 5 6 7 8 8 7 8 8 6 7 8 8 7 8 8
2 1 2 3 4 4 3 4 4 0 1 2 2 1 2 2 3 4 5 6 6 5 6 6 4 5 6 6 5 6 6 3 4 5 6 6 5 6 6 4 5 6 6 5 6 6  
3 2 3 4 5 5 4 5 5 1 0 1 1 2 3 3 4 5 6 7 7 6 7 7 5 6 7 7 6 7 7 4 5 6 7 7 6 7 7 5 6 7 7 6 7 7
4 3 4 5 6 6 5 6 6 2 1 0 2 3 4 4 5 6 7 8 8 7 8 8 6 7 8 8 7 8 8 5 6 7 8 8 7 8 8 6 7 8 8 7 8 8
4 3 4 5 6 6 5 6 6 2 1 2 0 3 4 4 5 6 7 8 8 7 8 8 6 7 8 8 7 8 8 5 6 7 8 8 7 8 8 6 7 8 8 7 8 8
3 2 3 4 5 5 4 5 5 1 2 3 3 0 1 1 4 5 6 7 7 6 7 7 5 6 7 7 6 7 7 4 5 6 7 7 6 7 7 5 6 7 7 6 7 7
